,flight_number,date,temp,erosion,blow_by,damage_index,comments,srb_num
4,1,1981-04-12,66,0,0,0.0,Coolest (66 degrees) launch without O-ring problems,srb-1
10,2,1981-11-12,70,1,0,4.0,Extent of erosion not fully known,srb-2
9,3,1982-03-22,69,0,0,0.0,,srb-3
22,4,1982-06-27,80,0,0,,O-ring condition unknown; rocket casing lost at sea,srb-4
8,5,1982-11-11,68,0,0,0.0,,srb-5
5,6,1983-04-04,67,0,0,0.0,,srb-6
14,7,1983-06-18,72,0,0,0.0,,srb-7
15,8,1983-08-30,73,0,0,0.0,,srb-8
11,9,1983-11-28,70,0,0,0.0,,srb-9
1,41-B,1984-02-03,57,1,0,4.0,"Deep, extensive erosion",srb-10
3,41-C,1984-04-06,63,1,0,2.0,"O-rings showed signs of heating, but no damage",srb-11
12,41-D,1984-08-30,78,0,0,0.0,,srb-12
20,41-G,1984-10-05,70,1,0,4.0,,srb-13
6,51-A,1984-11-08,67,0,0,0.0,,srb-14
0,51-C,1985-01-24,53,3,2,11.0,Most erosion any flight; blow-by; back-up rings heated,srb-15
7,51-D,1985-04-12,67,0,0,0.0,,srb-16
16,51-B,1985-04-29,75,0,0,0.0,,srb-17
13,51-G,1985-06-17,70,0,0,0.0,,srb-18
23,51-F,1985-07-29,81,0,0,0.0,,srb-19
18,51-I,1985-08-27,76,0,0,0.0,,srb-20
21,51-J,1985-10-03,79,0,0,0.0,,srb-21
17,61-A,1985-10-30,75,0,2,4.0,No erosion. Soot found behind two primary O-rings,srb-22
19,61-B,1985-11-26,76,0,0,0.0,,srb-23
2,61-C,1986-01-12,58,1,0,4.0,O-ring erosion on launch two weeks before Challenger,srb-24
